GEOid,GEOid2,GEO.display-label,HD01_VD01,HD02_VD01
1400000US54001965500,54001965500,"Census Tract 9655, Barbour County, West Virginia",4051,433
1400000US54001965600,54001965600,"Census Tract 9656, Barbour County, West Virginia",3690,217
1400000US54001965700,54001965700,"Census Tract 9657, Barbour County, West Virginia",5140,540
1400000US54001965800,54001965800,"Census Tract 9658, Barbour County, West Virginia",3842,389
1400000US54003971101,54003971101,"Census Tract 9711.01, Berkeley County, West Virginia",5314,692
1400000US54003971102,54003971102,"Census Tract 9711.02, Berkeley County, West Virginia",8504,637
1400000US54003971201,54003971201,"Census Tract 9712.01, Berkeley County, West Virginia",9692,525
1400000US54003971202,54003971202,"Census Tract 9712.02, Berkeley County, West Virginia",5091,561
1400000US54003971300,54003971300,"Census Tract 9713, Berkeley County, West Virginia",9445,661
1400000US54003971400,54003971400,"Census Tract 9714, Berkeley County, West Virginia",9789,663
1400000US54003971500,54003971500,"Census Tract 9715, Berkeley County, West Virginia",4237,524
1400000US54003971600,54003971600,"Census Tract 9716, Berkeley County, West Virginia",4191,397
1400000US54003971700,54003971700,"Census Tract 9717, Berkeley County, West Virginia",5936,459
1400000US54003971800,54003971800,"Census Tract 9718, Berkeley County, West Virginia",8181,648
1400000US54003971900,54003971900,"Census Tract 9719, Berkeley County, West Virginia",9827,645
1400000US54003972000,54003972000,"Census Tract 9720, Berkeley County, West Virginia",12069,792
1400000US54003972101,54003972101,"Census Tract 9721.01, Berkeley County, West Virginia",5121,529
1400000US54003972102,54003972102,"Census Tract 9721.02, Berkeley County, West Virginia",9927,855
1400000US54005958200,54005958200,"Census Tract 9582, Boone County, West Virginia",4518,420
1400000US54005958300,54005958300,"Census Tract 9583, Boone County, West Virginia",4085,386
1400000US54005958400,54005958400,"Census Tract 9584, Boone County, West Virginia",2130,242
1400000US54005958501,54005958501,"Census Tract 9585.01, Boone County, West Virginia",2810,319
1400000US54005958502,54005958502,"Census Tract 9585.02, Boone County, West Virginia",3370,339
1400000US54005958600,54005958600,"Census Tract 9586, Boone County, West Virginia",2257,270
1400000US54005958700,54005958700,"Census Tract 9587, Boone County, West Virginia",2131,239
1400000US54005958800,54005958800,"Census Tract 9588, Boone County, West Virginia",2956,357
1400000US54007967900,54007967900,"Census Tract 9679, Braxton County, West Virginia",5253,403
1400000US54007968000,54007968000,"Census Tract 9680, Braxton County, West Virginia",4352,342
1400000US54007968100,54007968100,"Census Tract 9681, Braxton County, West Virginia",4887,439
1400000US54009031101,54009031101,"Census Tract 311.01, Brooke County, West Virginia",5125,373
1400000US54009031102,54009031102,"Census Tract 311.02, Brooke County, West Virginia",4493,359
1400000US54009031200,54009031200,"Census Tract 312, Brooke County, West Virginia",3415,343
1400000US54009031400,54009031400,"Census Tract 314, Brooke County, West Virginia",3918,276
1400000US54009031600,54009031600,"Census Tract 316, Brooke County, West Virginia",4077,311
1400000US54009031700,54009031700,"Census Tract 317, Brooke County, West Virginia",2759,272
1400000US54011000101,54011000101,"Census Tract 1.01, Cabell County, West Virginia",1921,190
1400000US54011000102,54011000102,"Census Tract 1.02, Cabell County, West Virginia",2002,191
1400000US54011000200,54011000200,"Census Tract 2, Cabell County, West Virginia",2872,289
1400000US54011000300,54011000300,"Census Tract 3, Cabell County, West Virginia",2575,320
1400000US54011000400,54011000400,"Census Tract 4, Cabell County, West Virginia",3108,305
1400000US54011000500,54011000500,"Census Tract 5, Cabell County, West Virginia",2697,315
1400000US54011000600,54011000600,"Census Tract 6, Cabell County, West Virginia",1544,248
1400000US54011000900,54011000900,"Census Tract 9, Cabell County, West Virginia",1536,192
1400000US54011001000,54011001000,"Census Tract 10, Cabell County, West Virginia",2202,283
1400000US54011001100,54011001100,"Census Tract 11, Cabell County, West Virginia",1756,300
1400000US54011001200,54011001200,"Census Tract 12, Cabell County, West Virginia",3036,313
1400000US54011001300,54011001300,"Census Tract 13, Cabell County, West Virginia",2830,284
1400000US54011001400,54011001400,"Census Tract 14, Cabell County, West Virginia",2398,195
